Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Kim Minsu,KOR,Girona,La Liga,19.0,1,1,0,0,60,33,0
Yankuba Minteh,GAM,Brighton,Premier League,20.0,1,1,0,0,38,17,2
Bojan Miovski,MKD,Girona,La Liga,25.0,1,0,0,0,69,33,0
Rafa Mir,ESP,Valencia,La Liga,27.0,1,1,0,0,33,88,0
Juan Miranda,ESP,Bologna,Serie A,25.0,0,0,1,0,33,13,3
Fabio Miretti,ITA,Genoa,Serie A,21.0,1,1,0,0,55,31,3
Tyrick Mitchell,ENG,Crystal Palace,Premier League,25.0,0,0,1,0,31,22,2
Kaoru Mitoma,JPN,Brighton,Premier League,27.0,1,1,0,0,58,17,2
Maximilian Mittelstädt,GER,Stuttgart,de Bundesliga,27.0,0,0,1,0,40,82,4
Koji Miyoshi,JPN,Bochum,de Bundesliga,27.0,1,1,0,0,58,12,4
Henrikh Mkhitaryan,ARM,Inter,Serie A,36.0,0,1,0,0,4,39,3
Jakub Moder,POL,Brighton,Premier League,25.0,0,1,0,0,85,17,2
Rui Modesto,ANG,Udinese,Serie A,25.0,0,0,1,0,2,86,3
Luka Modrić,CRO,Real Madrid,La Liga,39.0,0,1,0,0,23,72,0
Max Moerstedt,GER,Hoffenheim,de Bundesliga,,1,0,0,0,40,37,4
Mostafa Mohamed,EGY,Nantes,Ligue 1,27.0,1,0,0,0,30,62,1
Johan Mojica,COL,Mallorca,La Liga,32.0,0,0,1,0,19,54,0
David Mokwa,FRA,Hoffenheim,de Bundesliga,20.0,1,0,1,0,36,37,4
Alberto Moleiro,ESP,Las Palmas,La Liga,21.0,1,1,0,0,33,42,0
Nahuel Molina,ARG,Atlético Madrid,La Liga,26.0,0,0,1,0,3,6,0
Florent Mollet,FRA,Nantes,Ligue 1,33.0,1,1,0,0,36,62,1
Jon Moncayola,ESP,Osasuna,La Liga,26.0,0,1,0,0,33,67,0
Gonzalo Montiel,ARG,Sevilla,La Liga,28.0,0,1,1,0,3,78,0
Lorenzo Montipò,ITA,Hellas Verona,Serie A,29.0,0,0,0,1,55,36,3
Mikey Moore,ENG,Tottenham,Premier League,17.0,1,1,0,0,31,84,2
Álvaro Morata,ESP,Milan,Serie A,32.0,1,1,0,0,33,58,3
Morato,BRA,Nott'ham Forest,Premier League,23.0,0,0,1,0,12,66,2
Diego Moreira,POR,Strasbourg,Ligue 1,20.0,0,1,1,0,86,81,1
Alberto Moreno,ESP,Como,Serie A,32.0,0,0,1,0,33,21,3
Álex Moreno,ESP,Nott'ham Forest,Premier League,31.0,0,0,1,0,33,66,2
Gerard Moreno,ESP,Villarreal,La Liga,32.0,1,0,0,0,33,91,0
Matias Moreno,ARG,Fiorentina,Serie A,21.0,0,0,1,0,3,28,3
Tete Morente,ESP,Lecce,Serie A,28.0,1,0,0,0,33,45,3
Mateu Morey,ESP,Mallorca,La Liga,25.0,0,0,1,0,33,54,0
Ilaix Moriba,GUI,Celta Vigo,La Liga,22.0,0,1,0,0,46,19,0
Manu Morlanes,ESP,Mallorca,La Liga,26.0,0,1,0,0,33,54,0
Nikola Moro,CRO,Bologna,Serie A,26.0,0,1,0,0,23,13,3
Raúl Moro,ESP,Valladolid,La Liga,22.0,1,1,0,0,33,89,0
Sam Morsy,EGY,Ipswich Town,Premier League,33.0,0,1,0,0,30,40,2
Gabriel Moscardo,BRA,Reims,Ligue 1,19.0,0,1,0,0,12,74,1
Cristhian Mosquera,ESP,Valencia,La Liga,20.0,0,0,1,0,33,88,0
Daniel Mosquera,COL,Hellas Verona,Serie A,25.0,1,0,0,0,19,36,3
Yerson Mosquera,COL,Wolves,Premier League,23.0,0,0,1,0,19,95,2
Dany Mota,POR,Monza,Serie A,26.0,1,1,0,0,86,61,3
Yael Mouanga,FRA,Montpellier,Ligue 1,19.0,0,0,1,0,36,60,1
Aimen Moueffek,FRA,Saint-Étienne,Ligue 1,23.0,0,1,0,0,36,77,1
Youssoufa Moukoko,GER,Nice,Ligue 1,20.0,1,1,0,0,40,65,1
Steve Mounié,BEN,Augsburg,de Bundesliga,30.0,1,1,0,0,9,7,4
Mason Mount,ENG,Manchester Utd,Premier League,26.0,1,1,0,0,31,56,2
Santiago Mouriño,URU,Alavés,La Liga,23.0,0,0,1,0,103,0,0
Louis Mouton,FRA,Saint-Étienne,Ligue 1,22.0,0,1,0,0,36,77,1
Divin Mubama,ENG,Manchester City,Premier League,20.0,1,0,0,0,31,55,2
Mykhailo Mudryk,UKR,Chelsea,Premier League,24.0,1,0,0,0,102,20,2
Ngal'Ayel Mukau,COD,Lille,Ligue 1,20.0,0,1,0,0,18,50,1
Nordi Mukiele,FRA,Leverkusen,de Bundesliga,27.0,0,0,1,0,36,49,4
Florian Müller,GER,Freiburg,de Bundesliga,27.0,0,0,0,1,40,29,4
Kevin Müller,GER,Heidenheim,de Bundesliga,33.0,0,0,0,1,40,35,4
Marius Müller,GER,Wolfsburg,de Bundesliga,31.0,0,0,0,1,40,94,4
Thomas Müller,GER,Bayern Munich,de Bundesliga,35.0,1,1,0,0,40,10,4
Abdul Mumin,GHA,Rayo Vallecano,La Liga,26.0,0,0,1,0,41,71,0
Marshall Munetsi,ZIM,Reims,Ligue 1,28.0,0,1,0,0,109,74,1
Rodrigo Muniz,BRA,Fulham,Premier League,23.0,1,0,0,0,12,30,2
Aihen Muñoz,ESP,Real Sociedad,La Liga,27.0,0,0,1,0,33,73,0
Álex Muñoz,ESP,Las Palmas,La Liga,30.0,0,0,1,0,33,42,0
Daniel Muñoz,COL,Crystal Palace,Premier League,28.0,0,0,1,0,19,22,2
Iker Muñoz,ESP,Osasuna,La Liga,22.0,0,1,0,0,33,67,0
Javier Muñoz,ESP,Las Palmas,La Liga,30.0,0,1,1,0,33,42,0
Arijanet Muric,KVX,Ipswich Town,Premier League,26.0,0,0,0,1,62,40,2
Murillo,BRA,Nott'ham Forest,Premier League,22.0,0,0,1,0,12,66,2
