Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Jadon Sancho,ENG,Chelsea,Premier League,24.0,1,0,0,0,31,20,2
Philipp Sander,GER,Gladbach,de Bundesliga,27.0,0,1,0,0,40,34,4
James Sands,USA,St. Pauli,de Bundesliga,24.0,0,1,1,0,104,80,4
Leroy Sané,GER,Bayern Munich,de Bundesliga,29.0,1,0,0,0,40,10,4
Arouna Sangante,SEN,Le Havre,Ligue 1,22.0,0,0,1,0,91,44,1
Ibrahim Sangaré,CIV,Nott'ham Forest,Premier League,27.0,0,1,0,0,16,66,2
Nhoa Sangui,FRA,Reims,Ligue 1,19.0,0,1,1,0,36,74,1
Maroan Sannadi,ESP,Athletic Club,La Liga,24.0,1,0,0,0,33,5,0
Kaishu Sano,JPN,Mainz 05,de Bundesliga,24.0,0,1,0,0,58,53,4
Nicola Sansone,ITA,Lecce,Serie A,33.0,1,1,0,0,55,45,3
Baptiste Santamaria,FRA,Rennes,Ligue 1,30.0,0,1,0,0,36,75,1
Jesús Santiago,ESP,Getafe,La Liga,20.0,0,1,0,0,33,32,0
Andrey Santos,BRA,Strasbourg,Ligue 1,20.0,0,1,0,0,12,81,1
Kauã Santos,BRA,Eint Frankfurt,de Bundesliga,21.0,0,0,0,1,12,24,4
Tiago Santos,POR,Lille,Ligue 1,22.0,0,0,1,0,86,50,1
Pablo Sarabia,ESP,Wolves,Premier League,32.0,1,1,0,0,33,95,2
Jeremy Sarmiento,ECU,Brighton,Premier League,22.0,0,1,0,0,29,17,2
Amin Sarr,SWE,Hellas Verona,Serie A,23.0,1,0,0,0,98,36,3
Ismaila Sarr,SEN,Crystal Palace,Premier League,27.0,1,1,0,0,91,22,2
Malang Sarr,FRA,Lens,Ligue 1,26.0,0,0,1,0,36,48,1
Mamadou Sarr,FRA,Strasbourg,Ligue 1,19.0,0,0,1,0,36,81,1
Martin Satriano,URU,Lens,Ligue 1,24.0,1,0,1,0,103,48,1
Razvan Sava,ROU,Udinese,Serie A,22.0,0,0,0,1,88,86,3
Téji Savanier,FRA,Montpellier,Ligue 1,33.0,0,1,0,0,36,60,1
Sávio,BRA,Manchester City,Premier League,20.0,1,1,0,0,12,55,2
Nicolò Savona,ITA,Juventus,Serie A,21.0,0,0,1,0,55,41,3
Saba Sazonov,GEO,Torino,Serie A,23.0,0,0,1,0,39,83,3
Joe Scally,USA,Gladbach,de Bundesliga,22.0,0,0,1,0,104,34,4
Giorgio Scalvini,ITA,Atalanta,Serie A,21.0,0,0,1,0,55,4,3
Gianluca Scamacca,ITA,Atalanta,Serie A,26.0,1,0,0,0,55,4,3
Oliver Scarles,ENG,West Ham,Premier League,19.0,0,0,1,0,31,93,2
Dane Scarlett,ENG,Tottenham,Premier League,20.0,1,0,0,0,31,84,2
Kevin Schade,GER,Brentford,Premier League,23.0,1,0,0,0,40,15,2
András Schäfer,HUN,Union Berlin,de Bundesliga,25.0,0,1,0,0,48,87,4
Fabian Schär,SUI,Newcastle Utd,Premier League,33.0,0,0,1,0,94,64,2
Patrik Schick,CZE,Leverkusen,de Bundesliga,29.0,1,0,0,0,26,49,4
Stefan Schimmer,GER,Heidenheim,de Bundesliga,30.0,1,1,0,0,40,35,4
Joël Schingtienne,BEL,Venezia,Serie A,22.0,0,0,1,0,8,90,3
Xaver Schlager,AUT,RB Leipzig,de Bundesliga,27.0,0,1,0,0,6,70,4
Keven Schlotterbeck,GER,Augsburg,de Bundesliga,27.0,0,0,1,0,40,7,4
Nico Schlotterbeck,GER,Dortmund,de Bundesliga,25.0,0,0,1,0,40,23,4
Jeffrey Schlupp,GHA,Crystal Palace,Premier League,32.0,0,1,1,0,41,22,2
Romano Schmid,AUT,Werder Bremen,de Bundesliga,25.0,0,1,0,0,6,92,4
Niklas Schmidt,GER,Toulouse,Ligue 1,27.0,0,1,0,0,40,85,1
Jan Schöppner,GER,Heidenheim,de Bundesliga,25.0,0,1,0,0,40,35,4
Marvin Schulz,GER,Holstein Kiel,de Bundesliga,30.0,0,1,1,0,40,38,4
Alexander Schwolow,GER,Union Berlin,de Bundesliga,32.0,0,0,0,1,40,87,4
Léo Scienza,BRA,Heidenheim,de Bundesliga,26.0,1,1,0,0,12,35,4
Alex Scott,ENG,Bournemouth,Premier League,21.0,0,1,0,0,31,14,2
Simone Scuffet,ITA,Cagliari,Serie A,28.0,0,0,0,1,55,18,3
Jérémy Sebas,MTQ,Strasbourg,Ligue 1,21.0,1,1,0,0,75,81,1
Aleksandar Sedlar,SRB,Alavés,La Liga,33.0,0,0,1,0,93,0,0
Jacopo Seghetti,ITA,Empoli,Serie A,20.0,0,0,0,1,55,25,3
Alidu Seidu,GHA,Rennes,Ligue 1,24.0,0,0,1,0,41,75,1
Nicolas Seiwald,AUT,RB Leipzig,de Bundesliga,23.0,0,1,1,0,6,70,4
Hiroki Sekine,JPN,Reims,Ligue 1,22.0,0,0,1,0,58,74,1
Matz Sels,BEL,Nott'ham Forest,Premier League,33.0,0,0,0,1,8,66,2
Nélson Semedo,POR,Wolves,Premier League,31.0,0,0,1,0,86,95,2
Antoine Semenyo,GHA,Bournemouth,Premier League,25.0,1,0,0,0,41,14,2
Marvin Senaya,TOG,Strasbourg,Ligue 1,24.0,0,0,1,0,99,81,1
Marcos Senesi,ARG,Bournemouth,Premier League,27.0,0,0,1,0,3,14,2
Stefano Sensi,ITA,Monza,Serie A,29.0,0,1,0,0,55,61,3
Suat Serdar,GER,Hellas Verona,Serie A,27.0,0,1,0,0,40,36,3
Sergi,ESP,Leganés,La Liga,32.0,0,0,1,0,33,46,0
Nicolás Serrano,ESP,Athletic Club,La Liga,22.0,1,0,0,0,33,5,0
Benjamin Šeško,SVN,RB Leipzig,de Bundesliga,21.0,1,1,0,0,97,70,4
Ryan Sessegnon,ENG,Fulham,Premier League,24.0,0,1,1,0,31,30,2
Stephan El Shaarawy,ITA,Roma,Serie A,32.0,0,1,1,0,55,76,3
Luke Shaw,ENG,Manchester Utd,Premier League,29.0,0,0,1,0,31,56,2
Alen Sherri,ALB,Cagliari,Serie A,27.0,0,0,0,1,0,18,3
Eldor Shomurodov,UZB,Roma,Serie A,29.0,1,0,0,0,105,76,3
Djibril Sidibé,FRA,Toulouse,Ligue 1,32.0,0,0,1,0,36,85,1
Armindo Sieb,GER,Mainz 05,de Bundesliga,22.0,1,1,0,0,40,53,4
Vincent Sierro,SUI,Toulouse,Ligue 1,29.0,0,1,0,0,94,85,1
Tim Siersleben,GER,Heidenheim,de Bundesliga,25.0,0,0,1,0,40,35,4
Zain Silcott-Duberry,MSR,Bournemouth,Premier League,19.0,1,0,0,0,74,14,2
Kiliann Sildillia,FRA,Freiburg,de Bundesliga,22.0,0,0,1,0,36,29,4
André Silva,POR,RB Leipzig,de Bundesliga,29.0,1,1,0,0,86,70,4
Bernardo Silva,POR,Manchester City,Premier League,30.0,1,1,0,0,86,55,2
Caio Henrique Oliveira Silva,BRA,Monaco,Ligue 1,27.0,0,0,1,0,12,59,1
Fábio Silva,POR,Las Palmas,La Liga,22.0,1,0,0,0,86,42,0
Jota Silva,POR,Nott'ham Forest,Premier League,25.0,1,1,0,0,86,66,2
Eric da Silva Moreira,GER,Nott'ham Forest,Premier League,18.0,0,1,1,0,40,66,2
Rui Silva,POR,Betis,La Liga,31.0,0,0,0,1,86,11,0
Marco Silvestri,ITA,Empoli,Serie A,34.0,0,0,0,1,55,25,3
Abdallah Sima,SEN,Brest,Ligue 1,23.0,1,1,0,0,91,16,1
Mohamed Simakan,FRA,RB Leipzig,de Bundesliga,24.0,0,0,1,0,36,70,4
Giovanni Simeone,ARG,Napoli,Serie A,29.0,1,0,0,0,3,63,3
Giuliano Simeone,ARG,Atlético Madrid,La Liga,22.0,0,1,1,0,3,6,0
Moses Simon,NGA,Nantes,Ligue 1,29.0,1,1,0,0,77,62,1
Unai Simón,ESP,Athletic Club,La Liga,27.0,0,0,0,1,33,5,0
Xavi Simons,NED,RB Leipzig,de Bundesliga,21.0,0,1,0,0,76,70,4
Jahmai Simpson-Pusey,ENG,Manchester City,Premier League,19.0,0,0,1,0,31,55,2
Danel Sinani,LUX,St. Pauli,de Bundesliga,27.0,1,1,0,0,65,80,4
Lassine Sinayoko,MLI,Auxerre,Ligue 1,25.0,1,1,0,0,70,8,1
Wilfried Singo,CIV,Monaco,Ligue 1,24.0,0,0,1,0,16,59,1
Luis Sinisterra,COL,Bournemouth,Premier League,25.0,1,1,0,0,19,14,2
Daley Sinkgraven,NED,Las Palmas,La Liga,29.0,0,0,1,0,76,42,0
Tobias Sippel,GER,Gladbach,de Bundesliga,36.0,0,0,0,1,40,34,4
Jailson Siqueira,BRA,Celta Vigo,La Liga,29.0,0,1,1,0,12,19,0
Ayanda Sishuba,BEL,Rennes,Ligue 1,20.0,1,0,0,0,8,75,1
Ibrahim Sissoko,MLI,Saint-Étienne,Ligue 1,29.0,1,0,0,0,70,77,1
Ibrahima Sissoko,MLI,Bochum,de Bundesliga,27.0,0,1,0,0,70,12,4
Niama Sissoko,MLI,Reims,Ligue 1,19.0,1,1,0,0,70,74,1
Antonio Sivera,ESP,Alavés,La Liga,28.0,0,0,0,1,33,0,0
Tim Skarke,GER,Union Berlin,de Bundesliga,28.0,1,1,0,0,40,87,4
Ellyes Skhiri,TUN,Eint Frankfurt,de Bundesliga,29.0,0,1,0,0,100,24,4
Oliver Skipp,ENG,Leicester City,Premier League,24.0,0,1,0,0,31,47,2
Leo Skiri Østigård,NOR,Hoffenheim,de Bundesliga,25.0,0,0,1,0,79,37,4
Łukasz Skorupski,POL,Bologna,Serie A,33.0,0,0,0,1,85,13,3
Andreas Skov Olsen,DEN,Wolfsburg,de Bundesliga,25.0,1,1,0,0,27,94,4
Robert Skov,DEN,Union Berlin,de Bundesliga,28.0,0,1,1,0,27,87,4
Milan Škriniar,SVK,Paris S-G,Ligue 1,30.0,0,0,1,0,96,68,1
Steven Skrzybski,GER,Holstein Kiel,de Bundesliga,32.0,1,1,0,0,40,38,4
Naatan Skyttä,FIN,Toulouse,Ligue 1,22.0,1,0,0,0,35,85,1
William Smallbone,IRL,Southampton,Premier League,25.0,0,1,0,0,50,79,2
Adam Smith,ENG,Bournemouth,Premier League,33.0,0,0,1,0,31,14,2
Eric Smith,SWE,St. Pauli,de Bundesliga,28.0,0,1,1,0,98,80,4
Justin Smith,CAN,Espanyol,La Liga,22.0,0,1,0,0,13,26,0
Emile Smith Rowe,ENG,Fulham,Premier League,24.0,0,1,0,0,31,30,2
Ivan Smolčić,CRO,Como,Serie A,24.0,0,0,1,0,23,21,3
Eduard Sobol,UKR,Strasbourg,Ligue 1,29.0,0,0,1,0,102,81,1
Simon Sohm,SUI,Parma,Serie A,23.0,0,1,0,0,94,69,3
Alex Sola,ESP,Getafe,La Liga,25.0,1,1,0,0,33,32,0
Dominic Solanke,ENG,Tottenham,Premier League,27.0,1,0,0,0,31,84,2
Ola Solbakken,NOR,Empoli,Serie A,26.0,1,1,0,0,79,25,3
Carlos Soler,ESP,West Ham,Premier League,28.0,1,1,0,0,33,93,2
Oumar Solet,FRA,Udinese,Serie A,25.0,0,0,1,0,36,86,3
Jhon Solis,COL,Girona,La Liga,20.0,0,1,0,0,19,33,0
Yann Sommer,SUI,Inter,Serie A,36.0,0,0,0,1,94,39,3
David Soria,ESP,Getafe,La Liga,31.0,0,0,0,1,33,32,0
Juan Soriano,ESP,Leganés,La Liga,27.0,0,0,0,1,33,46,0
Borna Sosa,CRO,Torino,Serie A,27.0,0,0,1,0,23,83,3
Ramón Sosa,PAR,Nott'ham Forest,Premier League,25.0,1,1,0,0,82,66,2
Hugo Sotelo,ESP,Celta Vigo,La Liga,21.0,0,1,0,0,33,19,0
Florian Sotoca,FRA,Lens,Ligue 1,34.0,1,1,0,0,36,48,1
Riccardo Sottil,ITA,Milan,Serie A,25.0,1,1,0,0,55,58,3
Tomáš Souček,CZE,West Ham,Premier League,30.0,0,1,0,0,26,93,2
Matìas Soulé,ARG,Roma,Serie A,21.0,1,1,0,0,3,76,3
Boubakary Soumaré,FRA,Leicester City,Premier League,26.0,0,1,0,0,36,47,2
Issa Soumaré,SEN,Le Havre,Ligue 1,24.0,1,1,0,0,91,44,1
Djibril Sow,SUI,Sevilla,La Liga,28.0,0,1,0,0,94,78,0
Saidou Sow,GUI,Nantes,Ligue 1,22.0,0,0,1,0,46,62,1
Djed Spence,ENG,Tottenham,Premier League,24.0,0,0,1,0,31,84,2
Leonardo Spinazzola,ITA,Napoli,Serie A,31.0,1,0,1,0,55,63,3
Marco Sportiello,ITA,Milan,Serie A,32.0,0,0,0,1,55,58,3
Anton Stach,GER,Hoffenheim,de Bundesliga,26.0,0,1,1,0,40,37,4
Jens Stage,DEN,Werder Bremen,de Bundesliga,28.0,0,1,0,0,27,92,4
Josip Stanišić,CRO,Bayern Munich,de Bundesliga,24.0,0,0,1,0,23,10,4
Filip Stankovic,SRB,Venezia,Serie A,23.0,0,0,0,1,93,90,3
Jay Stansfield,ENG,Fulham,Premier League,22.0,0,1,0,0,31,30,2
Carl Starfelt,SWE,Celta Vigo,La Liga,29.0,0,0,1,0,98,19,0
Niklas Stark,GER,Werder Bremen,de Bundesliga,29.0,0,0,1,0,40,92,4
Lucas Stassin,BEL,Saint-Étienne,Ligue 1,20.0,1,0,0,0,8,77,1
Jason Steele,ENG,Brighton,Premier League,34.0,0,0,0,1,31,17,2
Orri Steinn Óskarsson,ISL,Real Sociedad,La Liga,20.0,1,0,0,0,53,73,0
Pascal Stenzel,GER,Stuttgart,de Bundesliga,28.0,0,0,1,0,40,82,4
Jack Stephens,ENG,Southampton,Premier League,31.0,0,0,1,0,31,79,2
Leonidas Stergiou,SUI,Stuttgart,de Bundesliga,23.0,0,0,1,0,94,82,4
Raheem Sterling,ENG,Arsenal,Premier League,30.0,1,1,0,0,31,2,2
Enzo Sternal,FRA,Marseille,Ligue 1,17.0,1,1,0,0,36,57,1
Finley Stevens,WAL,St. Pauli,de Bundesliga,21.0,0,0,1,0,107,80,4
Ross Stewart,SCO,Southampton,Premier League,28.0,1,1,0,0,90,79,2
Angelo Stiller,GER,Stuttgart,de Bundesliga,23.0,0,1,0,0,40,82,4
Kevin Stöger,AUT,Gladbach,de Bundesliga,31.0,1,1,0,0,6,34,4
Stoichkov,ESP,Alavés,La Liga,31.0,1,1,0,0,33,0,0
Petar Stojanović,SVN,Empoli,Serie A,29.0,0,1,0,0,97,25,3
Jakub Stolarczyk,POL,Leicester City,Premier League,24.0,0,0,0,1,85,47,2
John Stones,ENG,Manchester City,Premier League,30.0,0,1,1,0,31,55,2
Jørgen Strand Larsen,NOR,Wolves,Premier League,25.0,1,0,0,0,79,95,2
Gabriel Strefezza,BRA,Como,Serie A,27.0,1,1,0,0,12,21,3
Cristhian Stuani,URU,Girona,La Liga,38.0,1,0,0,0,103,33,0
Álex Suárez,ESP,Las Palmas,La Liga,31.0,0,0,1,0,33,42,0
Denis Suárez,ESP,Villarreal,La Liga,31.0,0,1,0,0,33,91,0
Gabriel Suazo,CHI,Toulouse,Ligue 1,27.0,0,0,1,0,15,85,1
Luka Sučić,CRO,Real Sociedad,La Liga,22.0,0,1,0,0,23,73,0
Yukinari Sugawara,JPN,Southampton,Premier League,24.0,0,0,1,0,58,79,2
Niklas Süle,GER,Dortmund,de Bundesliga,29.0,0,0,1,0,40,23,4
Ibrahim Sulemana,GHA,Atalanta,Serie A,21.0,0,1,0,0,41,4,3
Kamaldeen Sulemana,GHA,Southampton,Premier League,23.0,1,1,0,0,41,79,2
Crysencio Summerville,NED,West Ham,Premier League,23.0,1,1,0,0,76,93,2
Tomáš Suslov,SVK,Hellas Verona,Serie A,22.0,1,1,0,0,96,36,3
Suso,ESP,Sevilla,La Liga,31.0,1,1,0,0,33,78,0
Zion Suzuki,JPN,Parma,Serie A,22.0,0,0,0,1,58,69,3
Mattias Svanberg,SWE,Wolfsburg,de Bundesliga,26.0,0,1,0,0,98,94,4
Daniel Svensson,SWE,Dortmund,de Bundesliga,23.0,0,0,1,0,98,23,4
Marin Šverko,CRO,Venezia,Serie A,27.0,0,0,1,0,23,90,3
Mile Svilar,SRB,Roma,Serie A,25.0,0,0,0,1,93,76,3
Michael Svoboda,AUT,Venezia,Serie A,26.0,0,0,1,0,6,90,3
Williot Swedberg,SWE,Celta Vigo,La Liga,21.0,1,1,0,0,98,19,0
Abakar Sylla,CIV,Strasbourg,Ligue 1,22.0,0,0,1,0,16,81,1
Issiaga Sylla,GUI,Montpellier,Ligue 1,31.0,0,0,1,0,46,60,1
Mamadou Sylla,SEN,Valladolid,La Liga,30.0,1,1,0,0,91,89,0
Wojciech Szczęsny,POL,Barcelona,La Liga,34.0,0,0,0,1,85,9,0
Sammie Szmodics,IRL,Ipswich Town,Premier League,29.0,1,1,0,0,50,40,2
Dominik Szoboszlai,HUN,Liverpool,Premier League,24.0,0,1,0,0,48,51,2
Alexander Sørloth,NOR,Atlético Madrid,La Liga,29.0,1,0,0,0,79,6,0
Musa Al-Taamari,JOR,Rennes,Ligue 1,27.0,1,1,0,0,57,75,1
Haris Tabakovic,BIH,Hoffenheim,de Bundesliga,30.0,1,1,0,0,11,37,4
Nicolás Tagliafico,ARG,Lyon,Ligue 1,32.0,0,0,1,0,3,52,1
Jonathan Tah,GER,Leverkusen,de Bundesliga,29.0,0,0,1,0,40,49,4
Adrien Tameze,CMR,Torino,Serie A,31.0,0,1,1,0,17,83,3
Renato Tapia,PER,Leganés,La Liga,29.0,0,1,1,0,83,46,0
Edmond Tapsoba,BFA,Leverkusen,de Bundesliga,26.0,0,0,1,0,10,49,4
Florian Tardieu,FRA,Saint-Étienne,Ligue 1,32.0,0,1,0,0,36,77,1
Mehdi Taremi,IRN,Inter,Serie A,32.0,1,0,0,0,51,39,3
Matt Targett,ENG,Newcastle Utd,Premier League,29.0,0,0,1,0,31,64,2
Oussama Targhalline,MAR,Le Havre,Ligue 1,22.0,0,1,0,0,67,44,1
James Tarkowski,ENG,Everton,Premier League,32.0,0,0,1,0,31,27,2
César Tárrega,ESP,Valencia,La Liga,23.0,0,0,1,0,33,88,0
Nuno Tavares,POR,Lazio,Serie A,25.0,0,0,1,0,86,43,3
Marcus Tavernier,ENG,Bournemouth,Premier League,25.0,1,1,0,0,31,14,2
Charlie Taylor,ENG,Southampton,Premier League,31.0,0,0,1,0,31,79,2
Jack Taylor,IRL,Ipswich Town,Premier League,26.0,0,1,0,0,50,40,2
Loum Tchaouna,FRA,Lazio,Serie A,21.0,1,1,0,0,36,43,3
Jackson Tchatchoua,CMR,Hellas Verona,Serie A,23.0,0,1,1,0,17,36,3
Enzo Tchato,CMR,Montpellier,Ligue 1,22.0,0,0,1,0,17,60,1
Aurélien Tchouaméni,FRA,Real Madrid,La Liga,25.0,0,1,1,0,36,72,0
Álvaro Tejero,ESP,Espanyol,La Liga,28.0,0,1,1,0,33,26,0
Martín Tejón,ESP,Valencia,La Liga,20.0,0,1,1,0,33,88,0
Mathys Tel,FRA,Bayern Munich,de Bundesliga,19.0,1,1,0,0,36,10,4
Nathan Tella,NGA,Leverkusen,de Bundesliga,25.0,1,1,0,0,77,49,4
Nahuel Tenaglia,ARG,Alavés,La Liga,29.0,0,0,1,0,3,0,0
Casper Tengstedt,DEN,Hellas Verona,Serie A,24.0,1,1,0,0,27,36,3
Marc-André ter Stegen,GER,Barcelona,La Liga,32.0,0,0,0,1,40,9,0
Filippo Terracciano,ITA,Milan,Serie A,22.0,0,1,1,0,55,58,3
Pietro Terracciano,ITA,Fiorentina,Serie A,35.0,0,0,0,1,55,28,3
Ramón Terrats,ESP,Getafe,La Liga,24.0,0,1,0,0,33,32,0
Martin Terrier,FRA,Leverkusen,de Bundesliga,28.0,1,1,0,0,36,49,4
Tanner Tessmann,USA,Lyon,Ligue 1,23.0,0,1,0,0,104,52,1
Kenny Tete,NED,Fulham,Premier League,29.0,0,0,1,0,76,30,2
Teddy Teuma,MLT,Reims,Ligue 1,31.0,0,1,0,0,71,74,1
Jordan Teze,NED,Monaco,Ligue 1,25.0,0,0,1,0,76,59,1
Florian Thauvin,FRA,Udinese,Serie A,32.0,1,1,0,0,36,86,3
Arthur Theate,BEL,Eint Frankfurt,de Bundesliga,24.0,0,0,1,0,8,24,4
Norman Theuerkauf,GER,Heidenheim,de Bundesliga,38.0,0,1,0,0,40,35,4
Thiago,BRA,Brentford,Premier League,23.0,1,0,0,0,12,15,2
Malick Thiaw,GER,Milan,Serie A,23.0,0,0,1,0,40,58,3
Denis Thomalla,GER,Heidenheim,de Bundesliga,32.0,0,1,0,0,40,35,4
Luke Thomas,ENG,Leicester City,Premier League,23.0,0,0,1,0,31,47,2
Sorba Thomas,WAL,Nantes,Ligue 1,25.0,1,1,0,0,107,62,1
Adrien Thomasson,FRA,Lens,Ligue 1,31.0,0,1,0,0,36,48,1
Morten Thorsby,NOR,Genoa,Serie A,28.0,0,1,0,0,79,31,3
Khéphren Thuram,FRA,Juventus,Serie A,23.0,0,1,0,0,36,41,3
Marcus Thuram,FRA,Inter,Serie A,27.0,1,0,0,0,36,39,3
Youri Tielemans,BEL,Aston Villa,Premier League,27.0,0,1,0,0,8,3,2
Kieran Tierney,SCO,Arsenal,Premier League,27.0,1,0,1,0,90,2,2
Phillip Tietz,GER,Augsburg,de Bundesliga,27.0,1,0,0,0,40,7,4
Jurriën Timber,NED,Arsenal,Premier League,23.0,0,0,1,0,76,2,2
Jean-Clair Todibo,FRA,West Ham,Premier League,25.0,0,0,1,0,36,93,2
Harry Toffolo,ENG,Nott'ham Forest,Premier League,29.0,0,0,1,0,31,66,2
Umut Tohumcu,GER,Hoffenheim,de Bundesliga,20.0,0,1,0,0,40,37,4
Corentin Tolisso,FRA,Lyon,Ligue 1,30.0,0,1,0,0,36,52,1
John Tolkin,USA,Holstein Kiel,de Bundesliga,22.0,1,0,1,0,104,38,4
Rafael Tolói,ITA,Atalanta,Serie A,34.0,0,0,1,0,55,4,3
Tiago Tomás,POR,Wolfsburg,de Bundesliga,22.0,1,1,0,0,86,94,4
Takehiro Tomiyasu,JPN,Arsenal,Premier League,26.0,0,0,1,0,58,2,2
Fikayo Tomori,ENG,Milan,Serie A,27.0,0,0,1,0,31,58,3
Sandro Tonali,ITA,Newcastle Utd,Premier League,24.0,0,1,0,0,55,64,2
Pablo Torre,ESP,Barcelona,La Liga,21.0,1,1,0,0,33,9,0
David Torres,ESP,Valladolid,La Liga,22.0,0,0,1,0,33,89,0
Ferrán Torres,ESP,Barcelona,La Liga,25.0,1,1,0,0,33,9,0
Pau Torres,ESP,Aston Villa,Premier League,28.0,0,0,1,0,33,3,2
Lucas Torró,ESP,Osasuna,La Liga,30.0,0,1,0,0,33,67,0
Lorenzo Tosto,ITA,Empoli,Serie A,19.0,0,0,1,0,55,25,3
Abdoulaye Touré,GUI,Le Havre,Ligue 1,31.0,0,1,0,0,46,44,1
Bazoumana Touré,CIV,Hoffenheim,de Bundesliga,19.0,1,1,0,0,16,37,4
Birama Touré,MLI,Montpellier,Ligue 1,32.0,0,1,1,0,70,60,1
Ousmane Toure,FRA,Lille,Ligue 1,20.0,0,0,1,0,36,50,1
Souleymane Touré,FRA,Udinese,Serie A,21.0,0,0,1,0,36,86,3
Lucas Tousart,FRA,Union Berlin,de Bundesliga,27.0,0,1,0,0,36,87,4
Conor Townsend,ENG,Ipswich Town,Premier League,32.0,0,0,1,0,31,40,2
Adama Traoré,ESP,Fulham,Premier League,29.0,1,1,0,0,33,30,2
Hamari Traoré,MLI,Real Sociedad,La Liga,33.0,0,0,1,0,70,73,0
Omar Traoré,GER,Heidenheim,de Bundesliga,27.0,0,0,1,0,40,35,4
Kevin Trapp,GER,Eint Frankfurt,de Bundesliga,34.0,0,0,0,1,40,24,4
Mark Travers,IRL,Bournemouth,Premier League,25.0,0,0,0,1,50,14,2
Óscar Trejo,ARG,Rayo Vallecano,La Liga,36.0,1,1,0,0,3,71,0
Philipp Treu,GER,St. Pauli,de Bundesliga,24.0,0,1,1,0,40,80,4
Ryan Trevitt,ENG,Brentford,Premier League,21.0,0,1,0,0,31,15,2
Christopher Trimmel,AUT,Union Berlin,de Bundesliga,38.0,0,1,1,0,6,87,4
Kieran Trippier,ENG,Newcastle Utd,Premier League,34.0,0,0,1,0,31,64,2
Leandro Trossard,BEL,Arsenal,Premier League,30.0,1,0,0,0,8,2,2
Adrien Truffert,FRA,Rennes,Ligue 1,23.0,0,1,1,0,36,75,1
Kostas Tsimikas,GRE,Liverpool,Premier League,28.0,0,0,1,0,44,51,2
Viktor Tsyhankov,UKR,Girona,La Liga,27.0,1,1,0,0,102,33,0
Axel Tuanzebe,COD,Ipswich Town,Premier League,27.0,0,0,1,0,18,40,2
Stefano Turati,ITA,Monza,Serie A,23.0,0,0,0,1,55,61,3
Beñat Turrientes,ESP,Real Sociedad,La Liga,23.0,0,1,0,0,33,73,0
Tuta,BRA,Eint Frankfurt,de Bundesliga,25.0,0,1,1,0,12,24,4
Chrisantus Uche,NGA,Getafe,La Liga,21.0,1,1,0,0,77,32,0
Destiny Udogie,ITA,Tottenham,Premier League,22.0,0,0,1,0,55,84,2
Manuel Ugarte Ribeiro,URU,Manchester Utd,Premier League,23.0,0,1,0,0,103,56,2
Lesley Ugochukwu,FRA,Southampton,Premier League,20.0,0,1,0,0,36,79,2
Lukas Ullrich,GER,Gladbach,de Bundesliga,20.0,0,0,1,0,40,34,4
Sven Ulreich,GER,Bayern Munich,de Bundesliga,36.0,0,0,0,1,40,10,4
Enes Ünal,TUR,Bournemouth,Premier League,27.0,1,1,0,0,101,14,2
Deniz Undav,GER,Stuttgart,de Bundesliga,28.0,1,1,0,0,40,82,4
Naci Ünüvar,NED,Espanyol,La Liga,21.0,0,1,1,0,76,26,0
Dayot Upamecano,FRA,Bayern Munich,de Bundesliga,26.0,0,0,1,0,36,10,4
Kacper Urbanski,POL,Monza,Serie A,20.0,0,1,0,0,85,61,3
Jonas Urbig,GER,Bayern Munich,de Bundesliga,21.0,0,0,0,1,40,10,4
Can Uzun,TUR,Eint Frankfurt,de Bundesliga,19.0,1,1,0,0,101,24,4
Josha Vagnoman,GER,Stuttgart,de Bundesliga,24.0,0,1,1,0,40,82,4
Lautaro Valenti,ARG,Parma,Serie A,26.0,0,0,1,0,3,69,3
Óscar Valentín,ESP,Rayo Vallecano,La Liga,30.0,0,1,0,0,33,71,0
Nicolás Valentini,ARG,Hellas Verona,Serie A,23.0,0,0,1,0,3,36,3
Germán Valera,ESP,Valencia,La Liga,22.0,0,1,0,0,33,88,0
Emanuele Valeri,ITA,Parma,Serie A,26.0,0,0,1,0,55,69,3
Martin Valjent,SVK,Mallorca,La Liga,29.0,0,0,1,0,96,54,0
Álex Valle,ESP,Como,Serie A,20.0,0,0,1,0,33,21,3
Jesús Vallejo,ESP,Real Madrid,La Liga,28.0,0,0,1,0,33,72,0
Mattia Valoti,ITA,Monza,Serie A,31.0,0,1,0,0,55,61,3
Federico Valverde,URU,Real Madrid,La Liga,26.0,0,1,1,0,103,72,0
Ignace Van Der Brempt,BEL,Como,Serie A,22.0,0,0,1,0,8,21,3
Siebe Van Der Heyden,BEL,St. Pauli,de Bundesliga,26.0,0,1,1,0,8,80,4
Virgil van Dijk,NED,Liverpool,Premier League,33.0,0,0,1,0,76,51,2
Vanderson,BRA,Monaco,Ligue 1,23.0,0,0,1,0,12,59,1
Maarten Vandevoordt,BEL,RB Leipzig,de Bundesliga,23.0,0,0,0,1,8,70,4
Jamie Vardy,ENG,Leicester City,Premier League,38.0,1,0,0,0,31,47,2
Ruben Vargas,SUI,Augsburg,de Bundesliga,26.0,1,1,0,0,94,7,4
Nikola Vasilj,BIH,St. Pauli,de Bundesliga,29.0,0,0,0,1,11,80,4
